,NKX1-2,TLE2,TPBG,SRSF6,DAZ4,GPR31,CD274,LYZ,PCP4,ZIC1,label
a15,0.930260196358718,0.224877750874114,0.686266190278593,-0.151208668900277,0.332489558449341,1.48584101337298,0.307115524438214,-0.686724861149508,0.0358583128011692,0.210874541273332,1
a17,-1.48249152655668,-0.503385170149097,-0.470394453522256,-0.728237106253617,-1.71558406388947,-1.85694313133509,-0.290204221331057,-1.41752774512973,-1.17517230923738,0.448742349948781,1
a3,0.633374570630427,-0.66663956311942,-0.88072634692098,-0.482111955107769,-1.27193547570964,-1.85694313133509,-0.838412405589846,-2.00754505052296,-0.634198579343974,-0.652200408141593,1
a68,-0.14752865150308,-0.849142446177423,-1.45905666931573,-1.41782662386317,-0.957161793365449,-0.178667078224618,-1.86609140815373,-0.613983903531393,-0.959462170407471,-2.21651114504188,1
a45,-1.48249152655668,-2.36892129968872,0.836545906000098,-1.57682793988714,-0.513513205185617,-1.18426443600259,-0.838412405589846,0.279344003090972,-1.17517230923738,-0.652200408141593,1
a8,-0.14752865150308,-1.29490110263718,-1.45905666931573,-1.1469310346988,-0.513513205185617,-2.33421626057689,-0.533595678371091,0.811878586963929,-1.45327104594101,-1.63917059570964,1
a6,0.28223340375865,3.01723665375578,0.686266190278593,1.25124595711113,0.688557652759815,1.78831790732854,0.798900052252263,0.0810757029837072,0.772609769324324,0.652503211732029,1
a2,-0.14752865150308,1.09199324329108,0.518267762271224,-0.0386475895797831,0.41357643022056,-0.0343126114282973,-0.290204221331057,1.15093246565819,-0.391255999024415,0.0751626623997846,1
a61,0.28223340375865,-1.57740536720063,0.1079358688725,-0.821374096479872,-0.957161793365449,-0.336789506533813,-0.838412405589846,-1.04147618628248,-0.505115417092235,-1.22954095747384,1
a81,-0.701588304423177,1.09199324329108,0.686266190278593,0.629168053545054,0.332489558449341,0.728065213750022,0.23778866271836,0.0440780228307138,-0.0357809565141346,0.0751626623997846,1
a36,1.18743422355052,0.124876370442683,0.327806852594036,0.629168053545054,0.626016514140299,1.31104477808674,0.372693110123881,-0.259232578398425,0.278800893120728,0.912110327771729,1
a11,-1.48249152655668,1.43775051931941,0.327806852594036,-0.0937552782742019,-0.344845840303463,0.728065213750022,0.00229879721945929,-0.11844699981143,-0.505115417092235,-1.63917059570964,1
a14,-0.14752865150308,0.124876370442683,-0.152116309793382,-0.151208668900277,0.0454179139139481,0.543538571403906,-0.290204221331057,0.00573468097971214,-0.505115417092235,-0.0748598597963188,1
a67,0.28223340375865,-1.57740536720063,-0.470394453522256,-0.921416221175648,-1.27193547570964,-0.706991306760791,-1.86609140815373,-1.27674216654274,-1.45327104594101,-0.652200408141593,1
a46,0.633374570630427,-1.29490110263718,-0.88072634692098,-1.27559509911116,-0.198739522841426,-2.33421626057689,-0.676453530349173,-0.0754073220419955,-1.45327104594101,-1.63917059570964,1
a47,0.28223340375865,0.977164154823198,0.686266190278593,0.595834238399632,0.0454179139139481,0.971284746349678,0.164257672460132,0.393436366157263,0.164941475052908,0.554264468894537,1
a51,0.633374570630427,1.0356421745239,1.5069299780647,1.14319223125718,0.688557652759815,1.48584101337298,1.07849986552767,0.0810757029837072,0.5157577721357,1.54123465646258,1
a5,0.633374570630427,0.977164154823198,0.686266190278593,0.336141625978424,-0.957161793365449,0.728065213750022,-0.290204221331057,-0.210185330405611,-0.505115417092235,-0.652200408141593,1
a40,-0.14752865150308,0.124876370442683,-0.88072634692098,-0.641113271131745,-0.0698646177642084,-0.178667078224618,-0.676453530349173,0.736537564959934,1.40989444622735,0.210874541273332,1
a55,-1.48249152655668,-0.503385170149097,0.518267762271224,-1.0294699470296,0.0454179139139481,-0.178667078224618,0.0859795534304343,0.0810757029837072,0.864744952604712,-0.0748598597963188,1
a42,-0.701588304423177,-0.66663956311942,-1.45905666931573,-1.0294699470296,-0.713004356610075,-1.18426443600259,-0.405804974383615,-0.210185330405611,-1.45327104594101,-1.22954095747384,1
a16,-0.14752865150308,-0.849142446177423,0.1079358688725,-0.921416221175648,-0.513513205185617,-0.0343126114282973,-0.533595678371091,-0.545939282562513,-1.45327104594101,-0.432705718673511,1
a60,0.28223340375865,0.0179730462395457,-0.152116309793382,-0.482111955107769,-0.957161793365449,-0.511585741820052,-0.290204221331057,-0.0754073220419955,-0.113157261650725,-0.432705718673511,1
a77,0.633374570630427,-0.220880905585643,0.327806852594036,0.629168053545054,-0.713004356610075,-0.511585741820052,0.23778866271836,1.20237318956202,-0.0357809565141346,0.210874541273332,0
a75,0.28223340375865,0.491156907240872,0.327806852594036,1.74925299032366,0.857225018400392,0.33588918879868,2.20404563297001,1.3540845204683,2.16753024802591,0.744399417662258,0
a76,0.930260196358718,-0.0968560422283395,0.686266190278593,1.18745688176292,-0.0698646177642084,0.442960517813505,1.98853793005682,1.38619844591845,1.57777281972235,0.210874541273332,0
a28,-0.14752865150308,0.318814608599621,-0.470394453522256,1.07394880118334,0.857225018400392,0.638366082754244,0.00229879721945929,1.29828707278506,0.331067013890962,0.554264468894537,0
a30,0.28223340375865,-0.66663956311942,-0.88072634692098,0.294601397623652,-0.513513205185617,0.813162318040482,-0.184669002535124,-1.15256048575159,2.31545782295964,-0.652200408141593,0
