,CL0106,CL0107,CL0108,CL0109,CL0110,CL0111,CL0114,CL0116,CL0124,CL0125,CL0126,CL0146,CL0147,CL0191,CL0193,CL0196,NCI0422
EXOSC3,9.934448897,7.6110043,9.598470838,7.977365141,7.517118085,9.16692316,42.37975469,12.4119069,7.947919597,8.791449238,8.659832304,8.892417316,12.63928239,8.818855323,17.8218078,15.92064498,9.74126978
EXOSC4,5.292045353,24.50605852,4.41109334,7.805756735,6.683047132,11.42514037,2.63766402,7.502466237,2.221801553,4.035705249,3.707428988,5.306340455,3.924064789,6.319638057,3.693252517,7.024227849,8.671355108
EXOSC5,4.984409841,18.35458809,4.80917818,10.65707553,7.02613421,7.31591414,3.16661207,8.819339433,13.70807769,2.855096161,2.602201758,5.315167427,3.070367881,3.056528648,1.292340785,5.7838081,3.16946606
EXOSC6,0.183296463,4.148168688,0.125908423,0.290345203,0.061013198,0.072997577,0.198378933,0.228577998,0.292428293,0.189703582,0.199795907,0.118877965,0.216514029,0.226045253,0.22116271,0.456766193,0.497201462
EXOSC7,1.589439076,4.346062576,2.997523241,6.294256929,5.936663785,9.884980358,1.566871957,5.434624938,3.839836082,4.150750376,3.052817282,3.976952431,4.41626765,3.080511791,1.839743183,3.436478929,7.155347257
EXOSC8,11.76718702,11.93530439,7.45722814,6.690335813,8.553793356,8.010460935,17.54083274,5.70366862,9.65941572,11.6523357,11.32357652,9.656284261,9.349250493,7.267177181,10.00540931,6.790831154,6.496429664
EXOSC9,19.45214074,15.75298326,21.16456675,14.15361093,9.139243489,15.09274234,16.5991425,20.09256357,16.9512727,8.3121932,20.93444917,14.39236123,25.98192141,22.86948027,35.70992932,21.79865178,13.02619959
EXPH5,0.972535099,3.546368721,3.183207824,1.747891717,2.014974812,1.984223206,2.408742456,1.375117336,0.717464202,0.762640052,0.849944128,2.043850496,1.196646873,0.557150806,3.768566914,0.343271098,2.024659936
EXT1,36.93290185,14.8169981,31.05965726,35.56345214,24.08778563,18.9372603,20.624409,21.24667499,16.26722791,20.88600898,13.75890429,17.8948176,10.57997983,15.20453434,11.40805222,14.422106,30.51826597
EXT2,15.30602595,22.53340963,22.89107817,30.17316248,36.78738467,23.1924157,10.75121734,20.14960819,7.584110923,11.35028317,15.19253202,17.44665265,20.74580996,20.93934399,12.09786158,19.44188788,20.42670973
EXTL1,0.147893784,0.044715742,0.003135491,0.005005698,0.013674679,0.075259203,0,0.020492161,0.151935836,0.238098629,0.137783294,0.055190542,0.026285212,0.137739341,0.016522813,0.127966798,0.040522202
EXTL2,0.687685351,1.099075312,0.392599336,0.774245989,0.73555518,0.44038263,0.783965709,1.256856141,0.819849641,0.637704131,0.578912113,0.809175516,0.980187248,0.799304834,1.154736298,0.482466735,0.53135161
EXTL3,4.838836016,6.596175444,8.691147511,5.288226411,36.64603991,4.441576494,2.099413112,4.985808726,2.558324735,4.147575917,2.135856661,17.01648976,9.526242072,10.46013081,14.69368603,5.55610739,3.789971468
EYA1,33.76974544,1.26777588,1.005113409,10.18848671,0.418257535,0.288549732,86.61144202,53.84600956,121.1596637,130.2245795,21.28347357,3.240828647,4.006983586,16.08197442,33.99935093,3.204732771,18.43038674
EYA2,28.94434706,31.99706629,48.50601168,13.70768425,22.75671265,82.98574368,34.50756905,37.82617533,127.5124715,14.2291453,77.82214519,63.27176789,1.368924878,55.04547413,15.01769164,70.17738038,23.81972655
EYA3,9.136891914,2.460185713,10.34727644,5.564791595,6.188095134,2.885790816,8.087465228,9.202818735,12.90943686,4.640274352,9.661353601,7.574870815,14.81660412,4.888635675,9.644209695,7.587730006,5.632205947
EYA4,1.182285892,0.000677016,0.021647568,0.169159929,0.023188562,0.027346989,0.301582102,4.163943441,0.533687302,3.649208405,0.100132824,0.198471643,0.019837266,3.36315951,2.151649844,2.322107742,0.368114525
EYS,1.32136903,0.097025419,1.620347254,0.483017203,0.649286284,0.429005592,1.598076993,1.209014309,20.06610948,3.170128351,1.290477487,1.209684648,1.845745448,1.254649976,2.099219172,7.409379866,0.74168305
EZH1,12.85186948,7.471567435,27.22506633,7.833828156,9.05996148,9.451458422,10.03114251,15.12004677,16.37245391,15.68571259,24.64402768,19.28520894,14.49473896,15.27116439,10.04455029,15.43946568,8.31604177
EZH2,36.29606929,11.11712236,36.15702799,25.89111122,9.608035322,17.86365254,72.11556224,55.02621971,52.31351099,23.61846091,64.75379622,32.52390184,10.86137831,30.12175004,61.83561393,20.80943523,11.11483958
EZR,40.07199657,73.21115388,142.1167887,73.3715858,72.89095196,162.4103131,83.5018595,96.68520263,80.93408586,18.30334947,67.6542912,67.33620509,25.63711133,73.34521516,51.09565807,82.36572459,38.83140248
EZR-AS1,0,0.080985889,0.34072639,0.108791458,0,0.284460473,0.322105239,0.222683437,0.776964987,0,0.374314571,0.165446206,0.043943869,1.926890049,3.231890604,2.182148386,0.220172567
F10,1.479613084,0.269564029,0.588776309,93.45667517,56.57587456,1.702289283,0,0.460495611,0.97209966,7.093866895,0.604402578,1.154111506,0.921180496,0.467869639,0.165303568,0.684821316,0.945949751
F11,0.946057549,0.118733942,0.199816477,49.45945949,39.86886864,0.113740735,0,0.0415517,0.215741185,3.522393794,0.054878504,0,0.439270873,0.073377302,0.020939439,0.002851392,0.044017697
F11-AS1,0,0,0,0,0,0,0,0.226542081,0.018296949,0.208904349,0,0,0.558816574,0.02917082,0,0,0.020739602
F11R,10.10938813,62.08733709,45.97989062,53.42277757,61.8683934,38.91934602,9.914839406,44.10050447,5.679592608,10.95017777,15.31927717,43.40416991,10.27507746,16.11844809,24.68238422,18.630372,21.55662654
F12,0.4557835,2.625210303,0.950844255,267.8693942,145.2080399,0.943878962,0,0.901829919,1.112759582,6.729806248,0.59872081,0.168914849,5.94463495,1.018774162,0.168037651,0.44412345,0.611924439
F13A1,55.75621564,1.02880952,0.69966563,5.925730499,8.326757571,20.51248303,4.428204213,2.898626605,0.861954613,8.587031244,7.412791003,9.180789818,0.527655108,7.601588794,1.003760367,5.718446782,45.3263462
F13B,0.520890246,0,0.33366776,48.39531185,93.85590441,0,0,0.055677506,0.924105147,10.24286086,0.109188119,0.060326132,0.004578033,0.035846729,0.018705304,0.040117811,0.145270079
F2,2.702989309,0.279652683,2.307998735,623.7533039,386.4075488,0.746795492,0.274256589,0.282299095,0.808557491,7.255943453,0.325792687,0.242608092,0.266069468,0.292973398,0.118904683,0.376455653,0.763750326
F2R,49.21870838,5.27447703,2.34081713,15.63573109,17.94044246,12.04479186,8.556501643,7.135233205,14.83911358,13.32306678,10.88974419,13.2417216,5.631401096,11.63042873,13.03007292,9.030192931,23.6033275
